family,vertices,alpha,epsilon,rho,certified,support_nodes,support_volume,admissions,adjacency_work,route_work,verifier_work,total_work,stage2_work,literal_two_stage_work,direct_work,ratio,fair_ratio,literal_ratio,literal_fair_ratio,semantic_error
binary-depth-10,2047,0.04,0.0005,0.0005,True,127,380,126,380,1284,632,2296,632,2296,2202,1.0426884650317894,2.0,1.0426884650317894,2.0,0.0001514123665461627
binary-depth-10,2047,0.04,0.001,0.001,True,127,380,126,380,1284,632,2296,632,2296,1160,1.9793103448275862,2.0,1.9793103448275862,2.0,0.0001514123665461627
binary-depth-10,2047,0.04,0.002,0.002,True,63,188,62,188,516,312,1016,312,1016,576,1.7638888888888888,2.0,1.7638888888888888,2.0,0.0003261899622638487
binary-depth-10,2047,0.04,0.005,0.005,True,31,92,30,92,196,152,440,152,440,252,1.746031746031746,2.0,1.746031746031746,2.0,0.0007572926442651828
binary-depth-10,2047,0.16,0.0001,0.0001,True,127,380,126,380,1284,632,2296,632,2296,924,2.484848484848485,2.0,2.484848484848485,2.0,2.294112259852799e-05
binary-depth-10,2047,0.16,0.0005,0.0005,True,63,188,62,188,516,312,1016,312,1016,386,2.6321243523316062,2.0,2.6321243523316062,2.0,8.154950294898201e-05
binary-depth-10,2047,0.16,0.001,0.001,True,31,92,30,92,196,152,440,152,440,186,2.3655913978494625,2.0,2.3655913978494625,2.0,0.0002919656955915838
binary-depth-10,2047,0.16,0.002,0.002,True,15,44,14,44,68,72,184,72,184,184,1.0,2.0,1.0,2.0,0.0010464731615528833
binary-depth-10,2047,0.16,0.005,0.005,True,15,44,14,44,68,72,184,72,184,92,2.0,2.0,2.0,2.0,0.0010464731615528833
broom-512-511,1024,0.01,0.0001,0.0001,True,38,75,37,75,1406,149,1630,149,1630,6312,0.2582382762991128,0.5164765525982256,0.2582382762991128,0.5164765525982256,4.878578782793845e-05
broom-512-511,1024,0.01,0.0005,0.0005,True,30,59,29,59,870,117,1046,117,1046,3399,0.3077375698734922,0.6154751397469844,0.3077375698734922,0.6154751397469844,0.0002429375953513464
broom-512-511,1024,0.01,0.001,0.001,True,26,51,25,51,650,101,802,101,802,2658,0.3017306245297216,0.6034612490594432,0.3017306245297216,0.6034612490594432,0.0005421200020635672
broom-512-511,1024,0.01,0.002,0.002,True,23,45,22,45,506,89,640,89,640,1789,0.3577417551704863,0.7154835103409726,0.3577417551704863,0.7154835103409726,0.000989796601847199
broom-512-511,1024,0.01,0.005,0.005,True,18,35,17,35,306,69,410,69,410,1162,0.3528399311531842,0.7056798623063684,0.3528399311531842,0.7056798623063684,0.00269958394763829
broom-512-511,1024,0.04,0.0001,0.0001,True,21,41,20,41,420,81,542,81,542,985,0.550253807106599,1.100507614213198,0.550253807106599,1.100507614213198,4.009715464289552e-05
broom-512-511,1024,0.04,0.0005,0.0005,True,17,33,16,33,272,65,370,65,370,631,0.5863708399366085,1.172741679873217,0.5863708399366085,1.172741679873217,0.00020299184537965863
broom-512-511,1024,0.04,0.001,0.001,True,15,29,14,29,210,57,296,57,296,507,0.5838264299802761,1.1676528599605522,0.5838264299802761,1.1676528599605522,0.0004567316521042321
broom-512-511,1024,0.04,0.002,0.002,True,13,25,12,25,156,49,230,49,230,344,0.6686046511627907,1.3372093023255813,0.6686046511627907,1.3372093023255813,0.0010276462172345224
broom-512-511,1024,0.04,0.005,0.005,True,11,21,10,21,110,41,172,41,172,252,0.6825396825396826,1.3650793650793651,0.6825396825396826,1.3650793650793651,0.002312203988777676
broom-512-511,1024,0.16,0.0001,0.0001,True,11,21,10,21,110,41,172,41,172,148,1.162162162162162,2.0,1.162162162162162,2.0,3.583565551361181e-05
broom-512-511,1024,0.16,0.0005,0.0005,True,9,17,8,17,72,33,122,33,122,98,1.2448979591836735,2.0,1.2448979591836735,2.0,0.00019510523557410872
broom-512-511,1024,0.16,0.001,0.001,True,8,15,7,15,56,29,100,29,100,81,1.2345679012345678,2.0,1.2345679012345678,2.0,0.0004552455496729203
broom-512-511,1024,0.16,0.002,0.002,True,7,13,6,13,42,25,80,25,80,60,1.3333333333333333,2.0,1.3333333333333333,2.0,0.0010622396159034808
broom-512-511,1024,0.16,0.005,0.005,True,6,11,5,11,30,21,62,21,62,45,1.3777777777777778,2.0,1.3777777777777778,2.0,0.0024785591037747878
